CLASE;TIEMPO
U_ENTRANTES;56,268391
U_ENTRANTES;51,660801
U_ENTRANTES;94,907463
U_SALIENTES;62,530388
U_SALIENTES;55,475571
U_ENTRANTES;52,999184
U_ENTRANTES;35,546928
U_SALIENTES;42,877178
U_SALIENTES;66,326836
U_SALIENTES;36,130116
U_ENTRANTES;91,332321
U_SALIENTES;47,438416
U_SALIENTES;22,547701
U_ENTRANTES;67,404617
U_SALIENTES;38,755016
U_SALIENTES;51,111179
U_ENTRANTES;64,534821
U_SALIENTES;23,230196
U_SALIENTES;28,032839
U_ENTRANTES;76,121078
U_SALIENTES;43,118877
U_SALIENTES;37,791237
U_SALIENTES;16,084759
U_ENTRANTES;86,022346
U_SALIENTES;40,773510
U_ENTRANTES;58,646851
U_SALIENTES;26,758678
U_ENTRANTES;72,734283
U_ENTRANTES;59,771843
U_ENTRANTES;70,723099
U_SALIENTES;45,891945
U_ENTRANTES;73,237068
U_SALIENTES;40,261158
U_SALIENTES;20,177149
U_ENTRANTES;77,316963
U_ENTRANTES;77,431648
U_SALIENTES;23,872379
U_SALIENTES;20,904285
U_SALIENTES;44,170979
U_SALIENTES;73,623245
U_SALIENTES;27,539116
U_ENTRANTES;57,715832
U_SALIENTES;71,707100
U_SALIENTES;70,775627
U_ENTRANTES;55,921261
U_SALIENTES;20,516394
U_SALIENTES;45,530380
U_ENTRANTES;56,699772
U_ENTRANTES;58,582584
U_ENTRANTES;46,171486
U_ENTRANTES;75,732025
U_SALIENTES;29,509289
U_ENTRANTES;54,385185
U_ENTRANTES;89,810066
U_ENTRANTES;49,358887
U_SALIENTES;16,838932
U_ENTRANTES;63,553123
U_ENTRANTES;57,844120
U_ENTRANTES;36,834679
U_ENTRANTES;84,428978
U_ENTRANTES;53,691761
U_SALIENTES;28,625385
U_SALIENTES;12,889705
U_SALIENTES;19,792643
U_SALIENTES;55,218246
U_ENTRANTES;51,565006
U_ENTRANTES;65,601791
